Gene,gRNA
ATAD5,NTC-10
ATAT1,NTC-10
ATE1,NTC-10
ATF1,NTC-10
ATF2,NTC-10
ATF3,NTC-10
ATF4,NTC-10
ATF5,NTC-10
ATF6B,NTC-10
ATF6,NTC-10
ATF7IP2,NTC-10
ATF7IP,NTC-10
ATF7,NTC-10
ATG101,NTC-10
ATG10,NTC-10
ATG12,NTC-10
ATG13,NTC-10
ATG14,NTC-10
ATG16L1,NTC-10
ATG16L2,NTC-10
ATG2A,NTC-10
ATG2B,NTC-10
ATG3,NTC-10
ATG4A,NTC-10
ATG4C,NTC-10
ATG4D,NTC-10
ATG5,NTC-10
ATG7,NTC-10
ATG9A,NTC-10
ATIC,NTC-10
ATL2,NTC-10
ATL3,NTC-10
ATMIN,NTC-10
ATM,NTC-10
ATN1,NTC-10
ATOX1,NTC-10
ATP11A,NTC-10
ATP11B,NTC-10
ATP11C,NTC-10
ATP13A1,NTC-10
ATP13A2,NTC-10
ATP13A3,NTC-10
ATP1A1,NTC-10
ATP1B1,NTC-10
ATP1B2,NTC-10
ATP1B3,NTC-10
ATP23,NTC-10
ATP2A1,NTC-10
ATP2A2,NTC-10
ATP2A3,NTC-10
ATP2B1,NTC-10
ATP2B4,NTC-10
ATP2C1,NTC-10
ATP5F1A,NTC-10
ATP5F1B,NTC-10
ATP5F1C,NTC-10
ATP5F1D,NTC-10
ATP5F1E,NTC-10
ATP5IF1,NTC-10
ATP5MC1,NTC-10
ATP5MC2,NTC-10
ATP5MC3,NTC-10
ATP5MD,NTC-10
ATP5ME,NTC-10
ATP5MF,NTC-10
ATP5MG,NTC-10
ATP5MPL,NTC-10
ATP5PB,NTC-10
ATP5PD,NTC-10
ATP5PF,NTC-10
ATP5PO,NTC-10
ATP6AP1,NTC-10
ATP6AP2,NTC-10
ATP6V0A1,NTC-10
ATP6V0A2,NTC-10
ATP6V0B,NTC-10
ATP6V0C,NTC-10
ATP6V0D1,NTC-10
ATP6V0E1,NTC-10
ATP6V0E2,NTC-10
ATP6V1A,NTC-10
ATP6V1B2,NTC-10
ATP6V1C1,NTC-10
ATP6V1D,NTC-10
ATP6V1E1,NTC-10
ATP6V1E2,NTC-10
ATP6V1F,NTC-10
ATP6V1G1,NTC-10
ATP6V1H,NTC-10
ATP7A,NTC-10
ATP7B,NTC-10
ATP8B2,NTC-10
ATP9B,NTC-10
ATPAF1,NTC-10
ATPAF2,NTC-10
ATPSCKMT,NTC-10
ATRAID,NTC-10
ATRIP,NTC-10
ATRN,NTC-10
ATR,NTC-10
ATRX,NTC-10
ATXN10,NTC-10
ATXN1L,NTC-10
ATXN1,NTC-10
ATXN2L,NTC-10
ATXN2,NTC-10
ATXN3,NTC-10
ATXN7L1,NTC-10
ATXN7L2,NTC-10
ATXN7L3B,NTC-10
ATXN7L3,NTC-10
AUH,NTC-10
AUNIP,NTC-10
AUP1,NTC-10
AURKAIP1,NTC-10
AURKA,NTC-10
AURKB,NTC-10
AVEN,NTC-10
AVL9,NTC-10
AVPI1,NTC-10
AXIN1,NTC-10
AZIN1,NTC-10
B2M,NTC-10
B3GALNT1,NTC-10
B3GALNT2,NTC-10
B3GALT1,NTC-10
B3GALT6,NTC-10
B3GAT3,NTC-10
B3GLCT,NTC-10
B3GNT10,NTC-10
B3GNT2,NTC-10
B3GNT5,NTC-10
B3GNTL1,NTC-10
B4GALNT1,NTC-10
B4GALNT2,NTC-10
B4GALT1,NTC-10
B4GALT2,NTC-10
B4GALT4,NTC-10
B4GALT5,NTC-10
B4GALT7,NTC-10
B4GAT1,NTC-10
B9D1,NTC-10
B9D2,NTC-10
BABAM1,NTC-10
BABAM2,NTC-10
BACH1,NTC-10
BACH2,NTC-10
BAD,NTC-10
BAG1,NTC-10
BAG2,NTC-10
BAG3,NTC-10
BAG4,NTC-10
BAG5,NTC-10
BAG6,NTC-10
BAGE2,NTC-10
BAHCC1,NTC-10
BAHD1,NTC-10
BAIAP2L1,NTC-10
BAIAP2,NTC-10
BAK1,NTC-10
BAMBI,NTC-10
BANF1,NTC-10
BANP,NTC-10
BAP1,NTC-10
BARD1,NTC-10
BAX,NTC-10
BAZ1A,NTC-10
BAZ1B,NTC-10
BAZ2A,NTC-10
BAZ2B,NTC-10
BBC3,NTC-10
BBIP1,NTC-10
BBS10,NTC-10
BBS2,NTC-10
BBS4,NTC-10
BBS7,NTC-10
BBX,NTC-10
BCAN,NTC-10
BCAP29,NTC-10
BCAP31,NTC-10
BCAR1,NTC-10
BCAR3,NTC-10
BCAS1,NTC-10
BCAS2,NTC-10
BCAS3,NTC-10
BCAS4,NTC-10
BCAT1,NTC-10
BCAT2,NTC-10
BCCIP,NTC-10
BCDIN3D,NTC-10
BCKDHB,NTC-10
BCKDK,NTC-10
BCL10,NTC-10
BCL2L11,NTC-10
BCL2L12,NTC-10
BCL2L13,NTC-10
BCL2L1,NTC-10
BCL2L2,NTC-10
BCL3,NTC-10
BCL7A,NTC-10
BCL7B,NTC-10
BCL7C,NTC-10
BCL9L,NTC-10
BCLAF1,NTC-10
